Header Field,Original Header,Downsampled Header
sizeof_hdr,348,348
data_type,np.bytes_(b''),np.bytes_(b'')
db_name,np.bytes_(b''),np.bytes_(b'')
extents,0,0
session_error,0,0
regular,np.bytes_(b''),np.bytes_(b'')
dim_info,0,0
dim,[  3 256 256 150   1   1   1   1],[  3  52 256 150   1   1   1   1]
intent_p1,0.0,0.0
intent_p2,0.0,0.0
intent_p3,0.0,0.0
intent_code,0,0
datatype,16,16
bitpix,32,32
slice_start,0,0
pixdim,[1.     0.9375 0.9375 1.     1.     1.     1.     1.    ],[1. 5. 1. 1. 1. 1. 1. 1.]
vox_offset,0.0,0.0
scl_slope,nan,nan
scl_inter,nan,nan
slice_end,0,0
slice_code,0,0
xyzt_units,0,0
cal_max,0.0,0.0
cal_min,0.0,0.0
slice_duration,0.0,0.0
toffset,0.0,0.0
glmax,0,0
glmin,0,0
descrip,np.bytes_(b''),np.bytes_(b'')
aux_file,np.bytes_(b''),np.bytes_(b'')
qform_code,0,0
sform_code,2,2
quatern_b,0.0,0.0
quatern_c,0.0,0.0
quatern_d,0.0,0.0
qoffset_x,0.0,0.0
qoffset_y,0.0,0.0
qoffset_z,0.0,0.0
srow_x,[1. 0. 0. 0.],[5. 0. 0. 0.]
srow_y,[0. 1. 0. 0.],[0. 1. 0. 0.]
srow_z,[0. 0. 1. 0.],[0. 0. 1. 0.]
intent_name,np.bytes_(b''),np.bytes_(b'')
magic,np.bytes_(b'n+1'),np.bytes_(b'n+1')
